date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2015-01-01,January 2015,Other UK Airports,ABERDEEN,249165,249165,0
2015-01-01,January 2015,Non UK Reporting Airports,ALDERNEY,2906,2906,0
2015-01-01,January 2015,Other UK Airports,BARRA,437,437,0
2015-01-01,January 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),167662,167662,0
2015-01-01,January 2015,Other UK Airports,BELFAST INTERNATIONAL,237948,237819,129
2015-01-01,January 2015,Other UK Airports,BENBECULA,2082,2082,0
2015-01-01,January 2015,Other UK Airports,BIGGIN HILL,138,138,0
2015-01-01,January 2015,Other UK Airports,BIRMINGHAM,611467,611171,296
2015-01-01,January 2015,Other UK Airports,BLACKPOOL,1787,1787,0
2015-01-01,January 2015,Other UK Airports,BOURNEMOUTH,21419,20789,630
2015-01-01,January 2015,Other UK Airports,BRISTOL,360924,360538,386
2015-01-01,January 2015,Other UK Airports,CAMBRIDGE,350,350,0
2015-01-01,January 2015,Other UK Airports,CAMPBELTOWN,429,419,10
2015-01-01,January 2015,Other UK Airports,CARDIFF WALES,42316,42023,293
2015-01-01,January 2015,Other UK Airports,CITY OF DERRY (EGLINTON),20381,20378,3
2015-01-01,January 2015,Other UK Airports,COVENTRY,0,0,0
2015-01-01,January 2015,Other UK Airports,DONCASTER SHEFFIELD,45034,45034,0
2015-01-01,January 2015,Other UK Airports,DUNDEE,1240,1240,0
2015-01-01,January 2015,Other UK Airports,DURHAM TEES VALLEY,9894,9878,16
2015-01-01,January 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,183335,183043,292
2015-01-01,January 2015,Other UK Airports,EDINBURGH,625306,624836,470
2015-01-01,January 2015,Other UK Airports,EXETER,44294,44178,116
2015-01-01,January 2015,London Area Airports,GATWICK,2359570,2358459,1111
2015-01-01,January 2015,Other UK Airports,GLASGOW,485824,485546,278
2015-01-01,January 2015,Other UK Airports,GLOUCESTERSHIRE,733,733,0
2015-01-01,January 2015,Non UK Reporting Airports,GUERNSEY,53392,51115,2277
2015-01-01,January 2015,London Area Airports,HEATHROW,5456668,5454900,1768
2015-01-01,January 2015,Other UK Airports,HUMBERSIDE,15770,15767,3
2015-01-01,January 2015,Other UK Airports,INVERNESS,43447,43349,98
2015-01-01,January 2015,Other UK Airports,ISLAY,1659,1629,30
2015-01-01,January 2015,Non UK Reporting Airports,ISLE OF MAN,47013,47013,0
2015-01-01,January 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),2855,2855,0
2015-01-01,January 2015,Non UK Reporting Airports,JERSEY,82321,80930,1391
2015-01-01,January 2015,Other UK Airports,KIRKWALL,10236,9564,672
2015-01-01,January 2015,Other UK Airports,LANDS END (ST JUST),2229,2187,42
2015-01-01,January 2015,Other UK Airports,LEEDS BRADFORD,145040,142891,2149
2015-01-01,January 2015,Other UK Airports,LERWICK (TINGWALL),141,141,0
2015-01-01,January 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),250595,249764,831
2015-01-01,January 2015,London Area Airports,LONDON CITY,297929,297929,0
2015-01-01,January 2015,London Area Airports,LUTON,656324,656256,68
2015-01-01,January 2015,Other UK Airports,LYDD,9,9,0
2015-01-01,January 2015,Other UK Airports,MANCHESTER,1318080,1312800,5280
2015-01-01,January 2015,Other UK Airports,MANSTON (KENT INT),0,0,0
2015-01-01,January 2015,Other UK Airports,NEWCASTLE,233423,233047,376
